path,file,label
D:\sup_ai\level2_hack3_dashboard\level2_hack3_model\off_sweet_spot\off_sweet_spot_0019_20260527_112659.wav,off_sweet_spot_0019_20260527_112659.wav,off_sweet_spot
D:\sup_ai\level2_hack3_dashboard\level2_hack3_model\sweet_spot\sweet_spot_0017_20260527_112547.wav,sweet_spot_0017_20260527_112547.wav,sweet_spot
D:\sup_ai\level2_hack3_dashboard\level2_hack3_model\sweet_spot\sweet_spot_0013_20260527_111926.wav,sweet_spot_0013_20260527_111926.wav,sweet_spot
D:\sup_ai\level2_hack3_dashboard\level2_hack3_model\frame_hit\frame_hit_0011_20260527_113403.wav,frame_hit_0011_20260527_113403.wav,frame_hit
D:\sup_ai\level2_hack3_dashboard\level2_hack3_model\sweet_spot\sweet_spot_0003_20260527_105236.wav,sweet_spot_0003_20260527_105236.wav,sweet_spot
D:\sup_ai\level2_hack3_dashboard\level2_hack3_model\frame_hit\frame_hit_0017_20260527_113550.wav,frame_hit_0017_20260527_113550.wav,frame_hit
D:\sup_ai\level2_hack3_dashboard\level2_hack3_model\off_sweet_spot\off_sweet_spot_0017_20260527_112241.wav,off_sweet_spot_0017_20260527_112241.wav,off_sweet_spot
D:\sup_ai\level2_hack3_dashboard\level2_hack3_model\sweet_spot\sweet_spot_0015_20260527_112140.wav,sweet_spot_0015_20260527_112140.wav,sweet_spot
D:\sup_ai\level2_hack3_dashboard\level2_hack3_model\frame_hit\frame_hit_0007_20260527_113330.wav,frame_hit_0007_20260527_113330.wav,frame_hit
D:\sup_ai\level2_hack3_dashboard\level2_hack3_model\off_sweet_spot\off_sweet_spot_0014_20260527_112002.wav,off_sweet_spot_0014_20260527_112002.wav,off_sweet_spot
D:\sup_ai\level2_hack3_dashboard\level2_hack3_model\frame_hit\frame_hit_0013_20260527_111848.wav,frame_hit_0013_20260527_111848.wav,frame_hit
D:\sup_ai\level2_hack3_dashboard\level2_hack3_model\frame_hit\frame_hit_0013_20260527_111741.wav,frame_hit_0013_20260527_111741.wav,frame_hit
D:\sup_ai\level2_hack3_dashboard\level2_hack3_model\off_sweet_spot\off_sweet_spot_0018_20260527_112602.wav,off_sweet_spot_0018_20260527_112602.wav,off_sweet_spot
D:\sup_ai\level2_hack3_dashboard\level2_hack3_model\frame_hit\frame_hit_0014_20260527_113439.wav,frame_hit_0014_20260527_113439.wav,frame_hit
D:\sup_ai\level2_hack3_dashboard\level2_hack3_model\off_sweet_spot\off_sweet_spot_0017_20260527_112526.wav,off_sweet_spot_0017_20260527_112526.wav,off_sweet_spot
D:\sup_ai\level2_hack3_dashboard\level2_hack3_model\frame_hit\frame_hit_0019_20260527_113616.wav,frame_hit_0019_20260527_113616.wav,frame_hit
D:\sup_ai\level2_hack3_dashboard\level2_hack3_model\sweet_spot\sweet_spot_0006_20260527_105444.wav,sweet_spot_0006_20260527_105444.wav,sweet_spot
D:\sup_ai\level2_hack3_dashboard\level2_hack3_model\off_sweet_spot\off_sweet_spot_0012_20260527_111010.wav,off_sweet_spot_0012_20260527_111010.wav,off_sweet_spot
D:\sup_ai\level2_hack3_dashboard\level2_hack3_model\sweet_spot\sweet_spot_0010_20260527_110842.wav,sweet_spot_0010_20260527_110842.wav,sweet_spot
D:\sup_ai\level2_hack3_dashboard\level2_hack3_model\off_sweet_spot\off_sweet_spot_0017_20260527_112326.wav,off_sweet_spot_0017_20260527_112326.wav,off_sweet_spot
D:\sup_ai\level2_hack3_dashboard\level2_hack3_model\sweet_spot\sweet_spot_0011_20260527_111000.wav,sweet_spot_0011_20260527_111000.wav,sweet_spot
D:\sup_ai\level2_hack3_dashboard\level2_hack3_model\frame_hit\frame_hit_0010_20260527_113355.wav,frame_hit_0010_20260527_113355.wav,frame_hit
D:\sup_ai\level2_hack3_dashboard\level2_hack3_model\frame_hit\frame_hit_0020_20260527_113622.wav,frame_hit_0020_20260527_113622.wav,frame_hit
D:\sup_ai\level2_hack3_dashboard\level2_hack3_model\off_sweet_spot\off_sweet_spot_0013_20260527_111828.wav,off_sweet_spot_0013_20260527_111828.wav,off_sweet_spot
D:\sup_ai\level2_hack3_dashboard\level2_hack3_model\off_sweet_spot\off_sweet_spot_0025_20260527_113219.wav,off_sweet_spot_0025_20260527_113219.wav,off_sweet_spot
D:\sup_ai\level2_hack3_dashboard\level2_hack3_model\sweet_spot\sweet_spot_0009_20260527_110311.wav,sweet_spot_0009_20260527_110311.wav,sweet_spot
D:\sup_ai\level2_hack3_dashboard\level2_hack3_model\off_sweet_spot\off_sweet_spot_0012_20260527_111343.wav,off_sweet_spot_0012_20260527_111343.wav,off_sweet_spot
D:\sup_ai\level2_hack3_dashboard\level2_hack3_model\frame_hit\frame_hit_0014_20260527_111948.wav,frame_hit_0014_20260527_111948.wav,frame_hit
D:\sup_ai\level2_hack3_dashboard\level2_hack3_model\frame_hit\frame_hit_0012_20260527_113425.wav,frame_hit_0012_20260527_113425.wav,frame_hit
D:\sup_ai\level2_hack3_dashboard\level2_hack3_model\sweet_spot\sweet_spot_0005_20260527_105337.wav,sweet_spot_0005_20260527_105337.wav,sweet_spot
D:\sup_ai\level2_hack3_dashboard\level2_hack3_model\off_sweet_spot\off_sweet_spot_0017_20260527_112434.wav,off_sweet_spot_0017_20260527_112434.wav,off_sweet_spot
D:\sup_ai\level2_hack3_dashboard\level2_hack3_model\off_sweet_spot\off_sweet_spot_0012_20260527_111603.wav,off_sweet_spot_0012_20260527_111603.wav,off_sweet_spot
D:\sup_ai\level2_hack3_dashboard\level2_hack3_model\sweet_spot\sweet_spot_0004_20260527_105316.wav,sweet_spot_0004_20260527_105316.wav,sweet_spot
D:\sup_ai\level2_hack3_dashboard\level2_hack3_model\off_sweet_spot\off_sweet_spot_0017_20260527_112505.wav,off_sweet_spot_0017_20260527_112505.wav,off_sweet_spot
D:\sup_ai\level2_hack3_dashboard\level2_hack3_model\sweet_spot\sweet_spot_0020_20260527_113109.wav,sweet_spot_0020_20260527_113109.wav,sweet_spot
D:\sup_ai\level2_hack3_dashboard\level2_hack3_model\frame_hit\frame_hit_0009_20260527_113345.wav,frame_hit_0009_20260527_113345.wav,frame_hit
D:\sup_ai\level2_hack3_dashboard\level2_hack3_model\off_sweet_spot\off_sweet_spot_0010_20260527_110352.wav,off_sweet_spot_0010_20260527_110352.wav,off_sweet_spot
D:\sup_ai\level2_hack3_dashboard\level2_hack3_model\frame_hit\frame_hit_0013_20260527_113432.wav,frame_hit_0013_20260527_113432.wav,frame_hit
D:\sup_ai\level2_hack3_dashboard\level2_hack3_model\sweet_spot\sweet_spot_0019_20260527_113056.wav,sweet_spot_0019_20260527_113056.wav,sweet_spot
D:\sup_ai\level2_hack3_dashboard\level2_hack3_model\off_sweet_spot\off_sweet_spot_0012_20260527_111457.wav,off_sweet_spot_0012_20260527_111457.wav,off_sweet_spot
D:\sup_ai\level2_hack3_dashboard\level2_hack3_model\off_sweet_spot\off_sweet_spot_0017_20260527_112343.wav,off_sweet_spot_0017_20260527_112343.wav,off_sweet_spot
D:\sup_ai\level2_hack3_dashboard\level2_hack3_model\sweet_spot\sweet_spot_0008_20260527_110038.wav,sweet_spot_0008_20260527_110038.wav,sweet_spot
D:\sup_ai\level2_hack3_dashboard\level2_hack3_model\frame_hit\frame_hit_0008_20260527_113337.wav,frame_hit_0008_20260527_113337.wav,frame_hit
D:\sup_ai\level2_hack3_dashboard\level2_hack3_model\off_sweet_spot\off_sweet_spot_0016_20260527_112149.wav,off_sweet_spot_0016_20260527_112149.wav,off_sweet_spot
D:\sup_ai\level2_hack3_dashboard\level2_hack3_model\off_sweet_spot\off_sweet_spot_0009_20260527_110242.wav,off_sweet_spot_0009_20260527_110242.wav,off_sweet_spot
D:\sup_ai\level2_hack3_dashboard\level2_hack3_model\sweet_spot\sweet_spot_0007_20260527_105958.wav,sweet_spot_0007_20260527_105958.wav,sweet_spot
D:\sup_ai\level2_hack3_dashboard\level2_hack3_model\off_sweet_spot\off_sweet_spot_0012_20260527_111441.wav,off_sweet_spot_0012_20260527_111441.wav,off_sweet_spot
D:\sup_ai\level2_hack3_dashboard\level2_hack3_model\frame_hit\frame_hit_0006_20260527_113311.wav,frame_hit_0006_20260527_113311.wav,frame_hit
D:\sup_ai\level2_hack3_dashboard\level2_hack3_model\sweet_spot\sweet_spot_0014_20260527_112030.wav,sweet_spot_0014_20260527_112030.wav,sweet_spot
D:\sup_ai\level2_hack3_dashboard\level2_hack3_model\frame_hit\frame_hit_0015_20260527_113449.wav,frame_hit_0015_20260527_113449.wav,frame_hit
D:\sup_ai\level2_hack3_dashboard\level2_hack3_model\off_sweet_spot\off_sweet_spot_0018_20260527_112617.wav,off_sweet_spot_0018_20260527_112617.wav,off_sweet_spot
D:\sup_ai\level2_hack3_dashboard\level2_hack3_model\sweet_spot\sweet_spot_0012_20260527_111618.wav,sweet_spot_0012_20260527_111618.wav,sweet_spot
